OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPriceINR,DiscountRate,SalesINR,ProfitINR,City,State,Channel,PaymentMethod
O30001,2025-04-16,C2339,P1004,"Smartphone 6.5""",General,1,13735,0.0,13735,4636,Nagercoil,Tamil Nadu,Mobile App,UPI
O30002,2023-06-07,C2396,P1011,Kitchen Mixer Grinder,General,1,28645,0.0,28645,9718,Thoothukudi,Tamil Nadu,Website,Debit Card
O30003,2023-08-14,C2103,P1008,Backpack 25L,General,1,42606,0.0,42606,19043,Tiruchirappalli,Tamil Nadu,Website,Credit Card
O30004,2024-07-24,C2085,P1028,Gaming Headset,General,2,21857,0.0,43714,16238,Ramanathapuram,Tamil Nadu,Marketplace,Wallet
O30005,2024-06-16,C2473,P1024,Mouse Wireless,General,1,22771,0.0,22771,6214,Thoothukudi,Tamil Nadu,Mobile App,COD
O30006,2023-09-01,C2372,P1029,USB-C Cable,General,1,27263,0.05,25899,7749,Kanchipuram,Tamil Nadu,Marketplace,UPI
O30007,2023-09-24,C2362,P1002,Women's Kurta,General,1,5580,0.05,5301,2173,Tiruchirappalli,Tamil Nadu,Website,Credit Card
O30008,2023-09-24,C2301,P1026,Water Bottle Stainless,General,1,19302,0.0,19302,3488,Tirunelveli,Tamil Nadu,Website,COD
O30009,2025-02-15,C2321,P1014,Makeup Kit,General,1,44484,0.1,40035,13167,Tiruchirappalli,Tamil Nadu,Mobile App,UPI
O30010,2025-10-12,C2299,P1008,Backpack 25L,General,1,42606,0.05,40475,16656,Ramanathapuram,Tamil Nadu,Mobile App,Wallet
O30011,2023-05-16,C2497,P1001,Men's Cotton T-Shirt,General,1,16338,0.15,13887,2525,Nagercoil,Tamil Nadu,Marketplace,UPI
O30012,2024-03-05,C2161,P1020,Vacuum Cleaner,General,1,15965,0.0,15965,3713,Nagercoil,Tamil Nadu,Marketplace,Wallet
O30013,2025-02-04,C2400,P1008,Backpack 25L,General,2,42606,0.0,85212,40637,Madurai,Tamil Nadu,Marketplace,Debit Card
O30014,2025-02-25,C2110,P1001,Men's Cotton T-Shirt,General,1,16338,0.0,16338,2918,Salem,Tamil Nadu,Mobile App,Wallet
O30015,2024-03-31,C2419,P1015,Wrist Watch,General,1,2573,0.0,2573,971,Chennai,Tamil Nadu,Marketplace,Debit Card
O30016,2025-01-24,C2335,P1019,Home Heater,General,2,58187,0.05,110555,41268,Dindigul,Tamil Nadu,Website,Credit Card
O30017,2025-03-10,C2188,P1005,Wireless Earbuds,General,2,44929,0.05,85365,36378,Kanchipuram,Tamil Nadu,Mobile App,Credit Card
O30018,2025-03-26,C2359,P1002,Women's Kurta,General,2,5580,0.0,11160,3451,Tirunelveli,Tamil Nadu,Mobile App,Credit Card
O30019,2023-04-24,C2458,P1025,Car Mobile Holder,General,1,18901,0.1,17010,5113,Salem,Tamil Nadu,Mobile App,Credit Card
O30020,2024-09-14,C2262,P1022,Desk Lamp,General,1,42456,0.05,40333,14249,Kanchipuram,Tamil Nadu,Marketplace,UPI
O30021,2025-11-08,C2035,P1030,Smart Light Bulb,General,1,34154,0.0,34154,15448,Coimbatore,Tamil Nadu,Website,UPI
O30022,2023-10-20,C2202,P1018,Power Bank 10000mAh,General,2,47180,0.0,94360,21582,Karur,Tamil Nadu,Mobile App,COD
O30023,2025-09-19,C2277,P1028,Gaming Headset,General,3,21857,0.0,65571,24736,Erode,Tamil Nadu,Website,Debit Card
O30024,2025-09-12,C2093,P1017,Mobile Cover,General,2,40581,0.0,81162,18043,Nagercoil,Tamil Nadu,Marketplace,Wallet
O30025,2025-11-30,C2022,P1029,USB-C Cable,General,1,27263,0.05,25899,6587,Chennai,Tamil Nadu,Website,UPI
O30026,2025-07-30,C2044,P1002,Women's Kurta,General,1,5580,0.0,5580,2322,Karur,Tamil Nadu,Website,COD
O30027,2024-09-19,C2197,P1013,Ceramic Dinner Set,General,1,13748,0.1,12373,3352,Kanchipuram,Tamil Nadu,Website,COD
O30028,2023-09-06,C2264,P1021,Office Chair,General,1,40438,0.0,40438,15885,Salem,Tamil Nadu,Mobile App,Credit Card
O30029,2024-06-03,C2458,P1014,Makeup Kit,General,1,44484,0.0,44484,13834,Salem,Tamil Nadu,Marketplace,UPI
O30030,2024-08-20,C2376,P1026,Water Bottle Stainless,General,1,19302,0.0,19302,4045,Chennai,Tamil Nadu,Website,Wallet
O30031,2023-09-01,C2273,P1001,Men's Cotton T-Shirt,General,1,16338,0.05,15521,2031,Salem,Tamil Nadu,Website,COD
O30032,2025-02-23,C2459,P1021,Office Chair,General,1,40438,0.0,40438,17119,Tiruchirappalli,Tamil Nadu,Mobile App,UPI
O30033,2023-05-20,C2212,P1001,Men's Cotton T-Shirt,General,1,16338,0.0,16338,2038,Tirunelveli,Tamil Nadu,Marketplace,Debit Card
O30034,2024-07-16,C2002,P1005,Wireless Earbuds,General,2,44929,0.0,89858,35601,Kanchipuram,Tamil Nadu,Website,Credit Card
O30035,2025-10-03,C2463,P1018,Power Bank 10000mAh,General,1,47180,0.0,47180,12446,Kanchipuram,Tamil Nadu,Website,COD
O30036,2023-02-09,C2343,P1021,Office Chair,General,2,40438,0.0,80876,28752,Kanchipuram,Tamil Nadu,Mobile App,Debit Card
O30037,2023-05-13,C2371,P1029,USB-C Cable,General,1,27263,0.0,27263,6457,Madurai,Tamil Nadu,Website,Wallet
O30038,2023-10-02,C2422,P1010,"LED Smart TV 43""",General,1,11741,0.15,9979,4368,Nagercoil,Tamil Nadu,Website,Wallet
O30039,2023-10-11,C2127,P1023,Bluetooth Keyboard,General,1,2007,0.0,2007,791,Ramanathapuram,Tamil Nadu,Marketplace,Debit Card
O30040,2025-07-22,C2441,P1008,Backpack 25L,General,1,42606,0.0,42606,15520,Vellore,Tamil Nadu,Mobile App,UPI
O30041,2025-05-22,C2424,P1009,Fitness Band,General,1,21672,0.05,20588,4257,Madurai,Tamil Nadu,Marketplace,COD
O30042,2025-01-17,C2091,P1024,Mouse Wireless,General,1,22771,0.15,19355,6737,Ramanathapuram,Tamil Nadu,Website,Wallet
O30043,2023-12-24,C2417,P1013,Ceramic Dinner Set,General,3,13748,0.0,41244,7930,Tirunelveli,Tamil Nadu,Mobile App,Debit Card
O30044,2024-09-19,C2319,P1001,Men's Cotton T-Shirt,General,1,16338,0.0,16338,2421,Chennai,Tamil Nadu,Mobile App,COD
